,index,filepath,status,process_path,taibiao_1,taibiao_2,taibiao_3,taibiao_4,taibiao_5,taibiao_6,taibiao_7,taibiao_8,taibiao_9,taibiao_10,taibiao_11,taibiao_12,taibiao_13,taibiao_14,taibiao_15,taibiao_16,ttv,voa,xtr,zhuangjia,daoju,qiangzhi,smoke
0,0,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,3,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,4,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,6,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,8,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,11,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,12,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,13,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,15,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,16,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,/Users/chenjialin/Downloads/smoke.mp4,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
