,Unnamed: 0,index,type,start,end,total
0,0,0,smoke,30,2300,4500
1,1,1,smoke,30,2300,4500
2,2,2,smoke,30,2300,4500
3,3,3,smoke,30,2300,4500
4,4,4,smoke,30,2300,4500
5,5,5,smoke,30,2300,4500
6,6,6,smoke,30,2300,4500
7,7,7,smoke,30,2300,4500
8,8,8,smoke,30,2300,4500
9,9,9,smoke,30,2300,4500
10,10,10,smoke,30,2300,4500
11,11,11,smoke,30,2300,4500
12,12,12,smoke,30,2300,4500
13,13,13,smoke,30,2300,4500
14,14,14,smoke,30,2300,4500
15,15,15,smoke,30,2300,4500
16,16,16,smoke,30,2300,4500
17,17,17,smoke,30,2300,4500
18,18,18,smoke,30,2300,4500
19,19,19,smoke,30,2300,4500
20,20,20,smoke,30,2300,4500
21,21,21,smoke,30,2300,4500
22,22,22,smoke,30,2300,4500
23,23,23,smoke,30,2300,4500
24,24,24,smoke,30,2300,4500
25,25,25,smoke,30,2300,4500
26,26,26,smoke,30,2300,4500
27,27,27,smoke,30,2300,4500
28,28,28,smoke,30,2300,4500
29,29,29,smoke,30,2300,4500
30,30,30,smoke,30,2300,4500
31,31,31,smoke,30,2300,4500
32,32,32,smoke,30,2300,4500
33,33,33,smoke,30,2300,4500
34,34,34,smoke,30,2300,4500
35,35,35,smoke,30,2300,4500
36,36,36,smoke,30,2300,4500
37,37,37,smoke,30,2300,4500
38,38,38,smoke,30,2300,4500
39,39,39,smoke,30,2300,4500
40,40,40,smoke,30,2300,4500
41,41,41,smoke,30,2300,4500
